filename,heigth,width,label
00000_00000.ppm,26,26,33
00000_00001.ppm,28,27,33
00000_00002.ppm,27,27,33
00000_00003.ppm,27,28,33
00000_00004.ppm,29,27,33
00000_00005.ppm,28,27,33
00000_00006.ppm,29,27,33
00000_00007.ppm,29,28,33
00000_00008.ppm,29,28,33
00000_00009.ppm,29,27,33
00000_00010.ppm,29,27,33
00000_00011.ppm,29,27,33
00000_00012.ppm,29,27,33
00000_00013.ppm,31,28,33
00000_00014.ppm,32,30,33
00000_00015.ppm,33,30,33
00000_00016.ppm,32,30,33
00000_00017.ppm,33,31,33
00000_00018.ppm,32,31,33
00000_00019.ppm,60,59,33
00000_00020.ppm,63,61,33
00000_00021.ppm,68,64,33
00000_00022.ppm,72,69,33
00000_00023.ppm,75,70,33
00000_00024.ppm,82,75,33
00000_00025.ppm,86,82,33
00000_00026.ppm,94,86,33
00000_00027.ppm,100,93,33
00000_00028.ppm,111,99,33
00000_00029.ppm,122,112,33
00001_00000.ppm,26,26,33
00001_00001.ppm,26,28,33
00001_00002.ppm,27,27,33
00001_00003.ppm,27,27,33
00001_00004.ppm,28,28,33
00001_00005.ppm,28,27,33
00001_00006.ppm,28,30,33
00001_00007.ppm,29,31,33
00001_00008.ppm,30,31,33
00001_00009.ppm,32,34,33
00001_00010.ppm,33,34,33
00001_00011.ppm,34,35,33
00001_00012.ppm,34,35,33
00001_00013.ppm,36,37,33
00001_00014.ppm,36,37,33
00001_00015.ppm,38,38,33
00001_00016.ppm,41,40,33
00001_00017.ppm,42,42,33
00001_00018.ppm,43,42,33
00001_00019.ppm,46,44,33
00001_00020.ppm,48,48,33
00001_00021.ppm,51,50,33
00001_00022.ppm,54,54,33
00001_00023.ppm,58,58,33
00001_00024.ppm,63,63,33
00001_00025.ppm,71,70,33
00001_00026.ppm,81,77,33
00001_00027.ppm,89,86,33
00001_00028.ppm,104,99,33
00001_00029.ppm,119,116,33
00002_00000.ppm,40,41,33
00002_00001.ppm,40,42,33
00002_00002.ppm,40,42,33
00002_00003.ppm,39,44,33
00002_00004.ppm,39,42,33
00002_00005.ppm,40,41,33
00002_00006.ppm,40,40,33
